,pic_id,pic_name,pic_source,relic_geograpicLocation,relic_materials,relic_creationDate,statue_name,statue_alias,statue_description,relic_creationDate_english,pic_source_english,pic_name_english,relic_materials_english,statue_name_english,statue_alias_english,statue_description_english
5,6,阿弥陀佛像（杭州灵隐寺飞来峰）  ,意匠生辉：浙江历史遗产的文化品读.杭州：浙江人民美术出版社，2003.12   ,浙江杭州灵隐寺飞来峰石窟 ,石雕  ,元代  ,阿弥陀佛（无量寿佛）,无量清净佛、无量光佛、无量寿佛、弥陀，接引佛、藏传佛教称为月巴墨佛,是佛教中西方“极乐世界”的教主，与观世音菩萨、大势至菩萨统称为西方三圣。佛经说此佛于过去世为菩萨时，名法藏，曾发四十八愿，长期修行，成为佛陀。后世所谓“念佛”，多指念阿弥陀佛名号。在寺院佛殿中，塑像常与释迦、药师两佛并坐，称三尊。参见五百罗汉第三九九尊“无量光尊者”条。,The Yuan dynasty ,"Italian craftsmen diamonds: Zhejiang heritage cultural goods read. Hangzhou: Zhejiang people's Fine Arts press, 2003.12 ",Amitabha like Hangzhou Lingyin Temple feilai peak） ,Stone ,Amitabha（boundless life of Buddha）,"Measureless pure Buddha, measureless light Buddha, the boundless life Buddha, Amitabha, the escorts Buddha, Tibetan Buddhism is called on bar ink Buddha","Buddhism in the West“Elysium,”the leader, the Bodhisattva, The 大势至菩萨 collectively referred to as the Western three Holy. The Sutra says the Buddha in the past life of the Bodhisattva, the name of the law of possession, had sent forty-eight willing, long-term spiritual practice, becomes the Buddha. Beyond the so-called“chanting”, multi-means to recite Amitabha name. In the monastery Hall of the temple, the statue is often associated with Buddha, pharmacists two Buddha sits, said Three respect. See five hundred Arhats of the third Nine Nine statue of“the infinite light of His Holiness”article."
6,7,阿弥陀佛（交城永宁寺）  ,刘慧葵编著.中华名寺古刹（1-4）.台北：地球出版有限公司，1981   ,山西交城永宁寺 ,铁铸  ,明代  ,阿弥陀佛（无量寿佛）,无量清净佛、无量光佛、无量寿佛、弥陀，接引佛、藏传佛教称为月巴墨佛,是佛教中西方“极乐世界”的教主，与观世音菩萨、大势至菩萨统称为西方三圣。佛经说此佛于过去世为菩萨时，名法藏，曾发四十八愿，长期修行，成为佛陀。后世所谓“念佛”，多指念阿弥陀佛名号。在寺院佛殿中，塑像常与释迦、药师两佛并坐，称三尊。参见五百罗汉第三九九尊“无量光尊者”条。,The Ming Dynasty ,"Liu Hui Kwai EDS. Chinese temple temple（1-4）. Taipei: Earth Publishing Co., 1981 ",Amitabha（jiaocheng Yongning temple） ,Iron casting ,Amitabha（boundless life of Buddha）,"Measureless pure Buddha, measureless light Buddha, the boundless life Buddha, Amitabha, the escorts Buddha, Tibetan Buddhism is called on bar ink Buddha","Buddhism in the West“Elysium,”the leader, the Bodhisattva, The 大势至菩萨 collectively referred to as the Western three Holy. The Sutra says the Buddha in the past life of the Bodhisattva, the name of the law of possession, had sent forty-eight willing, long-term spiritual practice, becomes the Buddha. Beyond the so-called“chanting”, multi-means to recite Amitabha name. In the monastery Hall of the temple, the statue is often associated with Buddha, pharmacists two Buddha sits, said Three respect. See five hundred Arhats of the third Nine Nine statue of“the infinite light of His Holiness”article."
7,8,阿弥陀佛像（北京雍和宫）  ,雍和宫佛像宝典.北京：北京出版社，2002.1   ,北京雍和宫 ,总高45厘米，像高26厘米，铜鎏金  ,清中早期  ,阿弥陀佛（无量寿佛）,无量清净佛、无量光佛、无量寿佛、弥陀，接引佛、藏传佛教称为月巴墨佛,是佛教中西方“极乐世界”的教主，与观世音菩萨、大势至菩萨统称为西方三圣。佛经说此佛于过去世为菩萨时，名法藏，曾发四十八愿，长期修行，成为佛陀。后世所谓“念佛”，多指念阿弥陀佛名号。在寺院佛殿中，塑像常与释迦、药师两佛并坐，称三尊。参见五百罗汉第三九九尊“无量光尊者”条。,Clear in the early ,"Lama Temple Buddha collection. Beijing: Beijing publishing house, 2002.1 ",Amitabha like Beijing Lama Temple） ,"With a total height of 45 cm, and as high as 26 cm, copper gilt ",Amitabha（boundless life of Buddha）,"Measureless pure Buddha, measureless light Buddha, the boundless life Buddha, Amitabha, the escorts Buddha, Tibetan Buddhism is called on bar ink Buddha","Buddhism in the West“Elysium,”the leader, the Bodhisattva, The 大势至菩萨 collectively referred to as the Western three Holy. The Sutra says the Buddha in the past life of the Bodhisattva, the name of the law of possession, had sent forty-eight willing, long-term spiritual practice, becomes the Buddha. Beyond the so-called“chanting”, multi-means to recite Amitabha name. In the monastery Hall of the temple, the statue is often associated with Buddha, pharmacists two Buddha sits, said Three respect. See five hundred Arhats of the third Nine Nine statue of“the infinite light of His Holiness”article."
8,9,阿弥陀佛像（新绛福胜寺）  ,金维诺主编.中国彩塑精华珍赏丛书 新绛福胜寺.太原：山西人民出版社，2004.1   ,山西新绛福胜寺 ,彩塑  ,元代  ,阿弥陀佛（无量寿佛）,无量清净佛、无量光佛、无量寿佛、弥陀，接引佛、藏传佛教称为月巴墨佛,是佛教中西方“极乐世界”的教主，与观世音菩萨、大势至菩萨统称为西方三圣。佛经说此佛于过去世为菩萨时，名法藏，曾发四十八愿，长期修行，成为佛陀。后世所谓“念佛”，多指念阿弥陀佛名号。在寺院佛殿中，塑像常与释迦、药师两佛并坐，称三尊。参见五百罗汉第三九九尊“无量光尊者”条。,The Yuan dynasty ,"Jin weinuo editor of the. China painted sculpture the essence of Jane bounty books 新绛 Fusheng temple. Taiyuan: Shanxi people's publishing house, 2004.1 ",Amitabha like 新绛 Fusheng temple） ,Painted sculpture ,Amitabha（boundless life of Buddha）,"Measureless pure Buddha, measureless light Buddha, the boundless life Buddha, Amitabha, the escorts Buddha, Tibetan Buddhism is called on bar ink Buddha","Buddhism in the West“Elysium,”the leader, the Bodhisattva, The 大势至菩萨 collectively referred to as the Western three Holy. The Sutra says the Buddha in the past life of the Bodhisattva, the name of the law of possession, had sent forty-eight willing, long-term spiritual practice, becomes the Buddha. Beyond the so-called“chanting”, multi-means to recite Amitabha name. In the monastery Hall of the temple, the statue is often associated with Buddha, pharmacists two Buddha sits, said Three respect. See five hundred Arhats of the third Nine Nine statue of“the infinite light of His Holiness”article."
9,10,无量寿佛（承德溥仁寺）  ,杨伯达主编.中国美术全集 雕塑篇6 元明清雕塑.北京：人民美术出版社，1988.12   ,河北承德溥仁寺宝相长新殿 ,高190厘米，座高150厘米  ,清代  ,阿弥陀佛（无量寿佛）,无量清净佛、无量光佛、无量寿佛、弥陀，接引佛、藏传佛教称为月巴墨佛,是佛教中西方“极乐世界”的教主，与观世音菩萨、大势至菩萨统称为西方三圣。佛经说此佛于过去世为菩萨时，名法藏，曾发四十八愿，长期修行，成为佛陀。后世所谓“念佛”，多指念阿弥陀佛名号。在寺院佛殿中，塑像常与释迦、药师两佛并坐，称三尊。参见五百罗汉第三九九尊“无量光尊者”条。,The Qing dynasty ,"Yang primary up to the editor. Chinese art collection sculptures Article 6 Yuan, Ming, Qing sculpture. Beijing: people's fine arts publishing house, 1988.12 ",Boundless life of Buddha Chengde PU-Jen temple） ,"High 190 cm, seat height 150 cm ",Amitabha（boundless life of Buddha）,"Measureless pure Buddha, measureless light Buddha, the boundless life Buddha, Amitabha, the escorts Buddha, Tibetan Buddhism is called on bar ink Buddha","Buddhism in the West“Elysium,”the leader, the Bodhisattva, The 大势至菩萨 collectively referred to as the Western three Holy. The Sutra says the Buddha in the past life of the Bodhisattva, the name of the law of possession, had sent forty-eight willing, long-term spiritual practice, becomes the Buddha. Beyond the so-called“chanting”, multi-means to recite Amitabha name. In the monastery Hall of the temple, the statue is often associated with Buddha, pharmacists two Buddha sits, said Three respect. See five hundred Arhats of the third Nine Nine statue of“the infinite light of His Holiness”article."
10,11,阿弥陀佛及胁侍组像（新绛福胜寺)  ,金维诺主编.中国寺观雕塑全集 第4卷 明清寺观造像.哈尔滨：黑龙江美术出版社，2005.12   ,山西新绛福胜寺弥陀殿 ,彩塑  ,明代  ,阿弥陀佛（无量寿佛）,无量清净佛、无量光佛、无量寿佛、弥陀，接引佛、藏传佛教称为月巴墨佛,是佛教中西方“极乐世界”的教主，与观世音菩萨、大势至菩萨统称为西方三圣。佛经说此佛于过去世为菩萨时，名法藏，曾发四十八愿，长期修行，成为佛陀。后世所谓“念佛”，多指念阿弥陀佛名号。在寺院佛殿中，塑像常与释迦、药师两佛并坐，称三尊。参见五百罗汉第三九九尊“无量光尊者”条。,The Ming Dynasty ,"Jin weinuo editor of the. Chinese temple sculpture collection vol. 4 Ming and Qing dynasty temple statues. Harbin: Heilongjiang fine arts publishing house, 2005.12 ",Amitabha and the threat of paternity groups like 新绛 Fusheng temple) ,Painted sculpture ,Amitabha（boundless life of Buddha）,"Measureless pure Buddha, measureless light Buddha, the boundless life Buddha, Amitabha, the escorts Buddha, Tibetan Buddhism is called on bar ink Buddha","Buddhism in the West“Elysium,”the leader, the Bodhisattva, The 大势至菩萨 collectively referred to as the Western three Holy. The Sutra says the Buddha in the past life of the Bodhisattva, the name of the law of possession, had sent forty-eight willing, long-term spiritual practice, becomes the Buddha. Beyond the so-called“chanting”, multi-means to recite Amitabha name. In the monastery Hall of the temple, the statue is often associated with Buddha, pharmacists two Buddha sits, said Three respect. See five hundred Arhats of the third Nine Nine statue of“the infinite light of His Holiness”article."
11,12,阿弥陀佛（夏县余庆禅院）  ,金维诺主编.中国寺观雕塑全集 第4卷 明清寺观造像.哈尔滨：黑龙江美术出版社，2005.12   ,山西夏县余庆禅院后大殿 ,彩塑  ,明代  ,阿弥陀佛（无量寿佛）,无量清净佛、无量光佛、无量寿佛、弥陀，接引佛、藏传佛教称为月巴墨佛,是佛教中西方“极乐世界”的教主，与观世音菩萨、大势至菩萨统称为西方三圣。佛经说此佛于过去世为菩萨时，名法藏，曾发四十八愿，长期修行，成为佛陀。后世所谓“念佛”，多指念阿弥陀佛名号。在寺院佛殿中，塑像常与释迦、药师两佛并坐，称三尊。参见五百罗汉第三九九尊“无量光尊者”条。,The Ming Dynasty ,"Jin weinuo editor of the. Chinese temple sculpture collection vol. 4 Ming and Qing dynasty temple statues. Harbin: Heilongjiang fine arts publishing house, 2005.12 ",Amitabha（夏县 Yuqing temple） ,Painted sculpture ,Amitabha（boundless life of Buddha）,"Measureless pure Buddha, measureless light Buddha, the boundless life Buddha, Amitabha, the escorts Buddha, Tibetan Buddhism is called on bar ink Buddha","Buddhism in the West“Elysium,”the leader, the Bodhisattva, The 大势至菩萨 collectively referred to as the Western three Holy. The Sutra says the Buddha in the past life of the Bodhisattva, the name of the law of possession, had sent forty-eight willing, long-term spiritual practice, becomes the Buddha. Beyond the so-called“chanting”, multi-means to recite Amitabha name. In the monastery Hall of the temple, the statue is often associated with Buddha, pharmacists two Buddha sits, said Three respect. See five hundred Arhats of the third Nine Nine statue of“the infinite light of His Holiness”article."
12,13,弥陀佛龛（隰县小西天）  ,金维诺主编.中国寺观雕塑全集 第4卷 明清寺观造像.哈尔滨：黑龙江美术出版社，2005.12   ,山西隰县小西天 ,彩塑  ,明代  ,阿弥陀佛（无量寿佛）,无量清净佛、无量光佛、无量寿佛、弥陀，接引佛、藏传佛教称为月巴墨佛,是佛教中西方“极乐世界”的教主，与观世音菩萨、大势至菩萨统称为西方三圣。佛经说此佛于过去世为菩萨时，名法藏，曾发四十八愿，长期修行，成为佛陀。后世所谓“念佛”，多指念阿弥陀佛名号。在寺院佛殿中，塑像常与释迦、药师两佛并坐，称三尊。参见五百罗汉第三九九尊“无量光尊者”条。,The Ming Dynasty ,"Jin weinuo editor of the. Chinese temple sculpture collection vol. 4 Ming and Qing dynasty temple statues. Harbin: Heilongjiang fine arts publishing house, 2005.12 ",Amitabha shrines（隰县 small West） ,Painted sculpture ,Amitabha（boundless life of Buddha）,"Measureless pure Buddha, measureless light Buddha, the boundless life Buddha, Amitabha, the escorts Buddha, Tibetan Buddhism is called on bar ink Buddha","Buddhism in the West“Elysium,”the leader, the Bodhisattva, The 大势至菩萨 collectively referred to as the Western three Holy. The Sutra says the Buddha in the past life of the Bodhisattva, the name of the law of possession, had sent forty-eight willing, long-term spiritual practice, becomes the Buddha. Beyond the so-called“chanting”, multi-means to recite Amitabha name. In the monastery Hall of the temple, the statue is often associated with Buddha, pharmacists two Buddha sits, said Three respect. See five hundred Arhats of the third Nine Nine statue of“the infinite light of His Holiness”article."
13,14,西方净土变图像（阿弥陀佛中心）（隰县小西天）  ,金维诺主编.中国寺观雕塑全集 第4卷 明清寺观造像.哈尔滨：黑龙江美术出版社，2005.12   ,山西隰县小西天 ,彩塑  ,明代  ,阿弥陀佛（无量寿佛）,无量清净佛、无量光佛、无量寿佛、弥陀，接引佛、藏传佛教称为月巴墨佛,是佛教中西方“极乐世界”的教主，与观世音菩萨、大势至菩萨统称为西方三圣。佛经说此佛于过去世为菩萨时，名法藏，曾发四十八愿，长期修行，成为佛陀。后世所谓“念佛”，多指念阿弥陀佛名号。在寺院佛殿中，塑像常与释迦、药师两佛并坐，称三尊。参见五百罗汉第三九九尊“无量光尊者”条。,The Ming Dynasty ,"Jin weinuo editor of the. Chinese temple sculpture collection vol. 4 Ming and Qing dynasty temple statues. Harbin: Heilongjiang fine arts publishing house, 2005.12 ",Western Pure Land change image of Amitabha centre）（隰县 small West） ,Painted sculpture ,Amitabha（boundless life of Buddha）,"Measureless pure Buddha, measureless light Buddha, the boundless life Buddha, Amitabha, the escorts Buddha, Tibetan Buddhism is called on bar ink Buddha","Buddhism in the West“Elysium,”the leader, the Bodhisattva, The 大势至菩萨 collectively referred to as the Western three Holy. The Sutra says the Buddha in the past life of the Bodhisattva, the name of the law of possession, had sent forty-eight willing, long-term spiritual practice, becomes the Buddha. Beyond the so-called“chanting”, multi-means to recite Amitabha name. In the monastery Hall of the temple, the statue is often associated with Buddha, pharmacists two Buddha sits, said Three respect. See five hundred Arhats of the third Nine Nine statue of“the infinite light of His Holiness”article."
14,15,弥陀佛像（朔州崇福寺）,金维诺主编.中国寺观雕塑全集 第3卷 辽金元寺观造像.哈尔滨：黑龙江美术出版社，2005.8   ,山西朔州崇福寺弥陀殿 ,彩塑  ,金  ,阿弥陀佛（无量寿佛）,无量清净佛、无量光佛、无量寿佛、弥陀，接引佛、藏传佛教称为月巴墨佛,是佛教中西方“极乐世界”的教主，与观世音菩萨、大势至菩萨统称为西方三圣。佛经说此佛于过去世为菩萨时，名法藏，曾发四十八愿，长期修行，成为佛陀。后世所谓“念佛”，多指念阿弥陀佛名号。在寺院佛殿中，塑像常与释迦、药师两佛并坐，称三尊。参见五百罗汉第三九九尊“无量光尊者”条。,Gold ,"Jin weinuo editor of the. Chinese temple sculpture The Complete Works Volume 3 Galerkin yuan temple statues. Harbin: Heilongjiang fine arts publishing house, 2005.8 ",Amitabha Buddha（shuozhou chongfu temple）,Painted sculpture ,Amitabha（boundless life of Buddha）,"Measureless pure Buddha, measureless light Buddha, the boundless life Buddha, Amitabha, the escorts Buddha, Tibetan Buddhism is called on bar ink Buddha","Buddhism in the West“Elysium,”the leader, the Bodhisattva, The 大势至菩萨 collectively referred to as the Western three Holy. The Sutra says the Buddha in the past life of the Bodhisattva, the name of the law of possession, had sent forty-eight willing, long-term spiritual practice, becomes the Buddha. Beyond the so-called“chanting”, multi-means to recite Amitabha name. In the monastery Hall of the temple, the statue is often associated with Buddha, pharmacists two Buddha sits, said Three respect. See five hundred Arhats of the third Nine Nine statue of“the infinite light of His Holiness”article."
